Link,Player,Season
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/marco_parolo_661,Parolo M.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/senad_lulic_622,Lulic S.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/balde_diao_keita_850,Keita B.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/miroslav_klose_851,Klose M.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/stefano_mauri_633,Mauri S.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/pereira_gomes_felipe_anderson_574,Felipe Anderson P.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/filip_djordjevic_827,Djordjevic F.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/rodriguez_diego_lopez_168,Diego Lopez R.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/ignazio_abate_201,Abate I.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/costa_dos_santos_alex_206,Alex C.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/daniele_bonera_230,Bonera D.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/cristian_zapata_394,Zapata C.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/nigel_de_jong_555,De Jong N.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/andrea_poli_673,Poli A.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/sulley_muntari_646,Muntari S.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/jeremy_menez_635,Menez J.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/giacomo_bonaventura_525,Bonaventura G.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/keisuke_honda_597,Honda K.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/stephan_el_shaarawy_831,El Shaarawy S.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/michael_essien_571,Essien M.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/pablo_armero_508,Armero P.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/mbaye_niang_867,Niang M.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/cabral_barbosa_rafael_149,Rafael C.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/raul_albiol_205,Albiol R.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/kalidou_koulibaly_305,Koulibaly K.,2014
