Original,Final
Isla M.,Isla M.
Iturbe J.,Iturbe J.
Iturra M.,Iturra M.
Ivan D.,Ivan D.
Izco M.,Izco M.
Izzo A.,Izzo A.
Jajalo M.,Jajalo M.
Jakupovic A.,Jakupovic A.
Jallow L.,Jallow L.
Jankovic B.,Jankovic B.
Jankto J.,Jankto J.
Jansson P.,Jansson P.
Jesus J.,Jesus J.
Joao Mario ,Joao Mario 
Joao Pedro ,Joao Pedro G.
Joao Pedro G.,Joao Pedro G.
Joao Silva ,Joao Silva 
Joaquin ,Joaquin 
Jonathan C.,Jonathan C.
Jorginho ,Jorginho 
Jorginho F.,Jorginho F.
Jorquera C.,Jorquera C.
Jovetic S.,Jovetic S.
Juan Jesus ,Juan Jesus G.
Juan Jesus G.,Juan Jesus G.
Kalinic N.,Kalinic N.
Karnezis O.,Karnezis O.
Kastanos G.,Kastanos G.
Kean M.,Kean M.
Keita B.,Keita B.
Keita S.,Keita S.
Kessie F.,Kessie F.
Khedira S.,Khedira S.
Kishna R.,Kishna R.
Klose M.,Klose M.
Kolarov A.,Kolarov A.
Kondogbia G.,Kondogbia G.
Kone P.,Kone P.
Konko A.,Konko A.
Kotnik A.,Kotnik A.
Koulibaly K.,Koulibaly K.
Kovacic M.,Kovacic M.
Krafth E.,Krafth E.
Kragl O.,Kragl O.
Krajnc L.,Krajnc L.
Krejci L.,Krejci L.
Krhin R.,Krhin R.
Krsticic N.,Krsticic N.
Krunic R.,Krunic R.
Kucka J.,Kucka J.
Kums S.,Kums S.
Kurtic J.,Kurtic J.
Kuzmanovic Z.,Kuzmanovic Z.
La Gumina A.,La Gumina A.
Lamanna E.,Lamanna E.
Lapadula G.,Lapadula G.
Laribi K.,Laribi K.
Larrondo P.,Larrondo P.
Lasagna K.,Lasagna K.
Laurini V.,Laurini V.
Laxalt D.,Laxalt D.
Lazaar A.,Lazaar A.
Lazarevic D.,Lazarevic D.
Lazovic D.,Lazovic D.
Lazzari A.,Lazzari A.
Leali N.,Leali N.
Ledesma C.,Ledesma C.
Leitner M.,Leitner M.
Lemina M.,Lemina M.
Lestienne M.,Lestienne M.
Letizia G.,Letizia G.
Letschert T.,Letschert T.
Lezzerini L.,Lezzerini L.
Lichtsteiner S.,Lichtsteiner S.
Lila A.,Lila A.
Linetty K.,Linetty K.
Lirola P.,Lirola P.
Livaja M.,Livaja M.
Ljajic A.,Ljajic A.
Llorente F.,Llorente F.
Lo Faso S.,Lo Faso S.
Locatelli M.,Locatelli M.
Lodi F.,Lodi F.
Lollo L.,Lollo L.
Lombardi C.,Lombardi C.
Longhi A.,Longhi A.
Longo S.,Longo S.
Lopez D.,Lopez D.
Lopez M.,Lopez M.
Lucarelli A.,Lucarelli A.
Leiva L.,Lucas Leiva
Lucas Souza V.,Lucas Souza V.
Lucchini S.,Lucchini S.
Luiz Adriano ,Luiz Adriano 
Lukaku J.,Lukaku J.
Lukic S.,Lukic S.
Lulic S.,Lulic S.
M'vila Y.,MVila Y.
Maccarone M.,Maccarone M.
Maggio C.,Maggio C.
Magnanelli F.,Magnanelli F.
Magnusson H.,Magnusson H.
Maicon D.,Maicon D.
Maiello R.,Maiello R.
Maietta D.,Maietta D.
Makienok S.,Makienok S.
Maksimovic N.,Maksimovic N.
Maloku L.,Maloku L.
Manaj R.,Manaj R.
Mancosu M.,Mancosu M.
Mandragora R.,Mandragora R.
Mandzukic M.,Mandzukic M.
Mangani T.,Mangani T.
Manolas K.,Manolas K.
Marchese G.,Marchese G.
Marchetti F.,Marchetti F.
Marchionni M.,Marchionni M.
Marchisio C.,Marchisio C.
Maresca E.,Maresca E.
Mariga M.,Mariga M.
Marilungo G.,Marilungo G.
Mario Rui ,Mario Rui 
Marques R.,Marques R.
Marquez R.,Marquez R.
Marquinho ,Marquinho 
Marrone L.,Marrone L.
Martella B.,Martella B.
Martic I.,Martic I.
Martinelli L.,Martinelli L.
Martinez J.,Martinez J.
Martinho R.,Martinho R.
Masiello A.,Masiello A.
Masiello S.,Masiello S.
Masina A.,Masina A.
Matavz T.,Matavz T.
Matheus P.,Matheus P.
Matos ,Matos 
Matos R.,Matos R.
Matri A.,Matri A.
Mattiello F.,Mattiello F.
Matuidi B.,Matuidi B.
Matuzalem F.,Matuzalem F.
Mauri J.,Mauri J.
Mauri S.,Mauri S.
Mauricio ,Mauricio 
Maxi Lopez ,Maxi Lopez 
Mazzitelli L.,Mazzitelli L.
Mazzotta A.,Mazzotta A.
Mbakogu J.,Mbakogu J.
Mbaye I.,Mbaye I.
Mchedlidze L.,Mchedlidze L.
Medel G.,Medel G.
Meggiorini R.,Meggiorini R.
Melchiorri F.,Melchiorri F.
Melo F.,Melo F.
Memushaj L.,Memushaj L.
Menez J.,Menez J.
Merkel A.,Merkel A.
Mertens D.,Mertens D.
Mesbah D.,Mesbah D.
Mesto G.,Mesto G.
Mexes P.,Mexes P.
Miangue S.,Miangue S.
Michu M.,Michu M.
Migliaccio G.,Migliaccio G.
Milic H.,Milic H.
Milik A.,Milik A.
Milinkovic S.,Milinkovic-Savic
Milinkovic-savic S.,Milinkovic-Savic
Miranda J.,Miranda J.
Mirante A.,Mirante A.
Missiroli S.,Missiroli S.
Mitrita A.,Mitrita A.
Moisander N.,Moisander N.
Molina S.,Molina S.
Molinaro C.,Molinaro C.
Monachello G.,Monachello G.
Moncini G.,Moncini G.
Montolivo R.,Montolivo R.
Montoya M.,Montoya M.
Moralez M.,Moralez M.
Moras E.,Moras E.
Morata A.,Morata A.
Moretti E.,Moretti E.
Morganella M.,Morganella M.
Morleo A.,Morleo A.
Moro D.,Moro D.
Morosini L.,Morosini L.
Morrison R.,Morrison R.
Mounier A.,Mounier A.
Mpoku P.,Mpoku P.
Mudingayi G.,Mudingayi G.
Munari G.,Munari G.
Munoz E.,Munoz E.
Muntari S.,Muntari S.
Murgia A.,Murgia A.
Muric R.,Muric R.
Muriel L.,Muriel L.
Murillo J.,Murillo J.
Murru N.,Murru N.
Mussis F.,Mussis F.
Nagatomo Y.,Nagatomo Y.
Nagy A.,Nagy A.
Nainggolan R.,Nainggolan R.
Nalini A.,Nalini A.
Natali C.,Natali C.
Nene' A.,Nene' A.
Nestorovski I.,Nestorovski I.
Neto N.,Neto N.
Ngoyi G.,Ngoyi G.
Niang ,Niang M.
Niang M.,Niang M.
Nica C.,Nica C.
Nico Lopez F.,Nico Lopez F.
Nicoletti M.,Nicoletti M.
Ninkovic N.,Ninkovic N.
Nkoulou N.,N'KOULOU
Nocerino A.,Nocerino A.
Novaretti D.,Novaretti D.
Ntcham O.,Ntcham O.
Obbadi M.,Obbadi M.
Obi J.,Obi J.
Obiang P.,Obiang P.
Ocampos L.,Ocampos L.
Ogbonna A.,Ogbonna A.
Oikonomou M.,Oikonomou M.
Okaka S.,Okaka S.
Okonkwo O.,Okonkwo O.
Olivera M.,Olivera M.
Onazi O.,Onazi O.
Orban L.,Orban L.
Osvaldo P.,Osvaldo P.
Padelli D.,Padelli D.
Padoin S.,Padoin S.
Paganini L.,Paganini L.
Pajac M.,Pajac M.
Palacio R.,Palacio R.
Paletta G.,Paletta G.
Palladino R.,Palladino R.
Palombo A.,Palombo A.
Paloschi A.,Paloschi A.
Pandev G.,Pandev G.
Panico G.,Panico G.
Paredes L.,Paredes L.
Parigini V.,Parigini V.
Parolo M.,Parolo M.
Pasalic M.,Pasalic M.
Pasciuti L.,Pasciuti L.
Pasqual M.,Pasqual M.
Pasquale G.,Pasquale G.
Patric ,Patric 
Pavlovic D.,Pavlovic D.
Pavoletti L.,Pavoletti L.
Pazzini G.,Pazzini G.
Pedro Mendes T.,Pedro Mendes T.
Pegolo G.,Pegolo G.
Pelagotti A.,Pelagotti A.
Pellegrini L.,Pellegrini L.
