CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Squadra
CHIELLINI,D,Dc,14,14,//www.fantacalcio.it/squadre/Juventus/CHIELLINI/288,Juventus
RUGANI,D,Dc,7,7,//www.fantacalcio.it/squadre/Juventus/RUGANI/294,Juventus
DANILO,D,,11,11,//www.fantacalcio.it/squadre/Juventus/DANILO/4237,Juventus
BONUCCI,D,Dc,11,11,//www.fantacalcio.it/squadre/Juventus/BONUCCI/286,Juventus
DEMIRAL,D,Dc,8,8,//www.fantacalcio.it/squadre/Juventus/DEMIRAL/4332,Juventus
BERNARDESCHI,C,,19,19,//www.fantacalcio.it/squadre/Juventus/BERNARDESCHI/184,Juventus
FAGIOLI,C,T,1,1,//www.fantacalcio.it/squadre/Juventus/FAGIOLI/4465,Juventus
PJANIC,C,C,16,16,//www.fantacalcio.it/squadre/Juventus/PJANIC/469,Juventus
BENTANCUR,C,C,8,8,//www.fantacalcio.it/squadre/Juventus/BENTANCUR/2166,Juventus
DOUGLAS COSTA,C,W,14,14,//www.fantacalcio.it/squadre/Juventus/DOUGLAS-COSTA/2200,Juventus
NICOLUSSI CAVIGLIA,C,C,1,1,//www.fantacalcio.it/squadre/Juventus/NICOLUSSI-CAVIGLIA/4349,Juventus
RAMSEY,C,T,18,18,//www.fantacalcio.it/squadre/Juventus/RAMSEY/2472,Juventus
CUADRADO,C,,9,9,//www.fantacalcio.it/squadre/Juventus/CUADRADO/697,Juventus
MATUIDI,C,,12,12,//www.fantacalcio.it/squadre/Juventus/MATUIDI/2306,Juventus
RABIOT,C,C,14,14,//www.fantacalcio.it/squadre/Juventus/RABIOT/2379,Juventus
CAN ,C,,14,14,//www.fantacalcio.it/squadre/Juventus/CAN-/2504,Juventus
KHEDIRA,C,C,10,10,//www.fantacalcio.it/squadre/Juventus/KHEDIRA/299,Juventus
PORTANOVA,C,C,1,1,//www.fantacalcio.it/squadre/Juventus/PORTANOVA/4370,Juventus
PJACA,A,A,4,4,//www.fantacalcio.it/squadre/Juventus/PJACA/1998,Juventus
CRISTIANO RONALDO,A,Pc,46,46,//www.fantacalcio.it/squadre/Juventus/CRISTIANO-RONALDO/2610,Juventus
MANDZUKIC,A,Pc,22,22,//www.fantacalcio.it/squadre/Juventus/MANDZUKIC/312,Juventus
HIGUAIN,A,Pc,29,29,//www.fantacalcio.it/squadre/Juventus/HIGUAIN/408,Juventus
DYBALA,A,A,26,26,//www.fantacalcio.it/squadre/Juventus/DYBALA/309,Juventus
GUERRIERI,P,Por,1,1,//www.fantacalcio.it/squadre/Lazio/GUERRIERI/317,Lazio
STRAKOSHA,P,Por,13,13,//www.fantacalcio.it/squadre/Lazio/STRAKOSHA/1934,Lazio
PROTO,P,Por,1,1,//www.fantacalcio.it/squadre/Lazio/PROTO/2770,Lazio
CIPRIANO,D,Dc,1,1,//www.fantacalcio.it/squadre/Lazio/CIPRIANO/4509,Lazio
BASTOS,D,Dc,6,6,//www.fantacalcio.it/squadre/Lazio/BASTOS/2062,Lazio
LUKAKU J,D,E,3,3,//www.fantacalcio.it/squadre/Lazio/LUKAKU-J/1999,Lazio
WALLACE,D,Dc,3,3,//www.fantacalcio.it/squadre/Lazio/WALLACE/2007,Lazio
ACERBI,D,Dc,14,14,//www.fantacalcio.it/squadre/Lazio/ACERBI/513,Lazio
LUIZ FELIPE,D,Dc,7,7,//www.fantacalcio.it/squadre/Lazio/LUIZ-FELIPE/2335,Lazio
VAVRO,D,Dc,9,9,//www.fantacalcio.it/squadre/Lazio/VAVRO/4397,Lazio
JORGE SILVA,D,Dc,2,2,//www.fantacalcio.it/squadre/Lazio/JORGE-SILVA/4467,Lazio
RADU,D,,7,7,//www.fantacalcio.it/squadre/Lazio/RADU/329,Lazio
DURMISI,D,,2,2,//www.fantacalcio.it/squadre/Lazio/DURMISI/2772,Lazio
PATRIC,D,,2,2,//www.fantacalcio.it/squadre/Lazio/PATRIC/327,Lazio
JONY,C,,6,6,//www.fantacalcio.it/squadre/Lazio/JONY/4424,Lazio
LULIC,C,,12,12,//www.fantacalcio.it/squadre/Lazio/LULIC/338,Lazio
CATALDI,C,,5,5,//www.fantacalcio.it/squadre/Lazio/CATALDI/333,Lazio
LUIS ALBERTO,C,T,20,20,//www.fantacalcio.it/squadre/Lazio/LUIS-ALBERTO/2085,Lazio
PAROLO,C,,14,14,//www.fantacalcio.it/squadre/Lazio/PAROLO/342,Lazio
BERISHA V,C,,5,5,//www.fantacalcio.it/squadre/Lazio/BERISHA-V/2771,Lazio
