Season,Grade_Type,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au
2018-19,Statistico,P,BRAZAO,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,OBERLIN,Empoli,3,5.17,5.17,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,JANKOVIC,SPAL,2,6,5.75,0,0,0,0,0,0,0,0,1,0,0
2018-19,Statistico,D,WILMOT,Udinese,3,5.67,5.67,0,0,0,0,0,0,0,0,1,0,0
2018-19,Statistico,A,MILLICO,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,DORATIOTTO,Cagliari,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,VERDE F,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,NICOLUSSI CAVIGLIA,Juventus,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,P,BRANCOLINI,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,CELAR,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,MONTIEL,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,COCCOLO,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,GOZZI,Juventus,1,5,5,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,MAVIDIDI,Juventus,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,GRUBAC,Chievo,2,5,4.75,0,0,0,0,0,0,0,0,1,0,0
2018-19,Statistico,A,PICCOLI,Atalanta,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,P,CAPRILE,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,KARAMOKO,Chievo,1,5,5,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,BELOKO,Fiorentina,1,5.5,5,0,0,0,0,0,0,0,0,1,0,0
2018-19,Statistico,D,NDRECKA,Chievo,1,5,5,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,GAETANO,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,CORBO,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,ARMINI,Lazio,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,P,DEL FAVERO,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,JUWARA,Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,CAPANNI,Lazio,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018-19,Statistico,C,PORTANOVA,Juventus,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018-19,Statistico,A,RASPADORI,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Fantacalcio,P,SPORTIELLO,Frosinone,35,6.11,4.21,0,64,0,0,0,0,0,0,5,0,0
2018-19,Fantacalcio,D,CONTI,Milan,9,5.78,5.83,0,0,0,0,0,0,2,0,3,0,0
2018-19,Fantacalcio,D,MASIELLO A,Atalanta,23,5.83,5.67,0,0,0,0,0,0,1,0,5,0,1
2018-19,Fantacalcio,C,CIGARINI,Cagliari,23,5.87,5.72,0,0,0,0,0,0,1,0,9,0,0
2018-19,Fantacalcio,C,D'ALESSANDRO,Udinese,20,5.95,5.92,0,0,0,0,0,0,1,0,3,0,0
2018-19,Fantacalcio,C,DE ROON,Atalanta,34,6.01,6.1,1,0,0,1,1,0,1,0,8,0,0
2018-19,Fantacalcio,A,GOMEZ A,Atalanta,35,6.21,7.03,7,0,0,0,0,0,9,1,5,0,0
2018-19,Fantacalcio,C,GRASSI,Parma,6,5.83,5.83,0,0,0,0,0,0,0,0,0,0,0
2018-19,Fantacalcio,C,KURTIC,SPAL,30,6.13,6.75,6,0,0,0,0,0,3,2,9,0,0
2018-19,Fantacalcio,P,DA COSTA,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Fantacalcio,P,MIRANTE,Roma,11,6.55,6.27,0,6,1,0,0,0,0,0,0,0,0
2018-19,Fantacalcio,D,FERRARI A,Sampdoria,6,5.67,5.5,0,0,0,0,0,0,0,0,2,0,0
2018-19,Fantacalcio,D,MAIETTA,Empoli,21,5.62,5.5,0,0,0,0,0,0,0,0,5,0,0
2018-19,Fantacalcio,D,MBAYE,Bologna,23,5.8,5.96,2,0,0,0,0,0,0,0,5,0,0
2018-19,Fantacalcio,D,ROSSETTINI,Chievo,21,5.55,5.43,0,0,0,0,0,0,0,0,5,0,0
2018-19,Fantacalcio,C,BRIGHI,Empoli,6,6,6.42,1,0,0,0,0,0,0,0,1,0,0
2018-19,Fantacalcio,C,CRISETIG,Frosinone,7,5.5,5.29,0,0,0,0,0,0,0,0,3,0,0
2018-19,Fantacalcio,C,DIAWARA,Napoli,11,5.82,5.64,0,0,0,0,0,0,0,0,4,0,0
2018-19,Fantacalcio,C,RIZZO,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Fantacalcio,D,GAGLIOLO,Parma,34,5.87,5.68,0,0,0,0,0,0,1,0,7,0,2
2018-19,Fantacalcio,D,ROMAGNOLI S,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Fantacalcio,D,SPOLLI,Genoa,7,5.43,5,0,0,0,0,0,0,0,0,2,0,1
2018-19,Fantacalcio,C,DI GAUDIO,Parma,11,5.64,5.64,0,0,0,0,0,0,0,0,0,0,0
2018-19,Fantacalcio,C,LOLLO,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Fantacalcio,A,LASAGNA,Udinese,34,5.69,6.13,6,0,0,1,0,1,1,0,2,0,0
2018-19,Fantacalcio,P,SECULIN,Chievo,2,5.75,2.25,0,7,0,0,0,0,0,0,0,0,0
2018-19,Fantacalcio,D,CACCIATORE,Cagliari,14,5.86,5.89,0,0,0,0,0,0,2,0,3,0,0
2018-19,Fantacalcio,D,CESAR,Chievo,13,5.42,5.54,1,0,0,0,0,0,0,0,3,0,0
2018-19,Fantacalcio,D,FREY,Chievo,3,5.67,5.67,0,0,0,0,0,0,0,0,0,0,0
2018-19,Fantacalcio,D,GOBBI,Parma,15,5.43,5.4,0,0,0,0,0,0,1,0,3,0,0
2018-19,Fantacalcio,D,MATTIELLO,Bologna,16,5.72,5.84,1,0,0,0,0,0,1,0,2,1,0
2018-19,Fantacalcio,C,BIRSA,Cagliari,26,5.88,6.17,1,0,0,1,1,0,1,1,1,0,0
2018-19,Fantacalcio,C,CASTRO,Cagliari,12,6.12,6.58,1,0,0,0,0,0,3,0,1,0,0
2018-19,Fantacalcio,C,HETEMAJ,Chievo,28,5.7,5.75,2,0,0,0,0,0,0,0,9,0,0
2018-19,Fantacalcio,C,RADOVANOVIC,Genoa,35,5.66,5.53,0,0,0,0,0,0,0,0,9,0,0
2018-19,Fantacalcio,C,RIGONI N,Chievo,24,5.54,5.38,0,0,0,0,0,0,1,0,8,1,0
