CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Season,Squadra,Nome,Nazionalità,Data di nascita,Altezza,Peso
MURILLO,D,Dc,9,9,//www.fantacalcio.it/squadre/Sampdoria/MURILLO/259,2019,Sampdoria,Murillo Jeison,Colombia,27/05/1992,182,78
BERESZYNSKI,D,,6,6,//www.fantacalcio.it/squadre/Sampdoria/BERESZYNSKI/2104,2019,Sampdoria,Bersezynski Bartosz,Polonia,12/07/1992,182,72
FERRARI A,D,,4,4,//www.fantacalcio.it/squadre/Sampdoria/FERRARI-A/45,2019,Sampdoria,Ferrari Alex,Italia,01/07/1994,183,70
SALA,D,,4,4,//www.fantacalcio.it/squadre/Sampdoria/SALA/630,2019,Sampdoria,Sala Jacopo,Italia,05/12/1991,184,75
AUGELLO,D,,4,4,//www.fantacalcio.it/squadre/Sampdoria/AUGELLO/4421,2019,Sampdoria,Augello Tommaso,Italia,30/08/1994,180,
DEPAOLI,D,,6,6,//www.fantacalcio.it/squadre/Sampdoria/DEPAOLI/2141,2019,Sampdoria,Depaoli Fabio,Italia,24/04/1997,184,
REGINI,D,,2,2,//www.fantacalcio.it/squadre/Sampdoria/REGINI/490,2019,Sampdoria,Regini Vasco,Italia,09/09/1990,185,76
COLLEY,D,Dc,7,7,//www.fantacalcio.it/squadre/Sampdoria/COLLEY/2784,2019,Sampdoria,Colley Omar,Gambia,24/10/1992,192,
MURRU,D,,8,8,//www.fantacalcio.it/squadre/Sampdoria/MURRU/1868,2019,Sampdoria,Murru Nicola,Italia,16/12/1994,180,64
BARRETO,C,,5,5,//www.fantacalcio.it/squadre/Sampdoria/BARRETO/494,2019,Sampdoria,Barreto Edgar,"Paraguay, Italia",15/07/1984,182,78
LINETTY,C,C,11,11,//www.fantacalcio.it/squadre/Sampdoria/LINETTY/2008,2019,Sampdoria,Linetty Karol,Polonia,02/02/1995,176,73
VIEIRA,C,,4,4,//www.fantacalcio.it/squadre/Sampdoria/VIEIRA/2855,2019,Sampdoria,Vieira Ronaldo,"Inghilterra, Guinea-Bissau",19/07/1998,180,
JANKTO,C,C,9,9,//www.fantacalcio.it/squadre/Sampdoria/JANKTO/1987,2019,Sampdoria,Jankto Jacub,Repubblica Ceca,19/01/1996,184,
THORSBY,C,C,5,5,//www.fantacalcio.it/squadre/Sampdoria/THORSBY/4404,2019,Sampdoria,Thorsby Morten,Norvegia,05/05/1996,189,
EKDAL,C,,7,7,//www.fantacalcio.it/squadre/Sampdoria/EKDAL/2391,2019,Sampdoria,Ekdal Albin,Svezia,28/07/1989,186,
RAMIREZ,C,T,10,10,//www.fantacalcio.it/squadre/Sampdoria/RAMIREZ/2287,2019,Sampdoria,Ramirez Gaston,Uruguay,02/12/1990,183,
LERIS,C,,5,5,//www.fantacalcio.it/squadre/Sampdoria/LERIS/2334,2019,Sampdoria,Leris Mehdi,"Francia, Algeria",23/05/1998,186,
CAPEZZI,C,,3,3,//www.fantacalcio.it/squadre/Sampdoria/CAPEZZI/173,2019,Sampdoria,Capezzi Leonardo,Italia,28/03/1995,178,70
